City_Id,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,48.04,87,75,5.75,SJ,1660154421
1,port blair,11.6667,92.75,81.21,83,100,14.52,IN,1660154423
2,yellowknife,62.456,-114.3525,59.56,82,100,13.0,CA,1660154426
3,jamestown,42.097,-79.2353,78.03,46,24,3.0,US,1660154341
4,saint-philippe,-21.3585,55.7679,65.79,77,65,16.98,RE,1660154165
5,puerto madero,14.7208,-92.4215,88.0,74,100,0.0,MX,1660154432
6,jinchang,38.4953,102.1739,74.53,71,98,6.69,CN,1660154435
7,kodiak,57.79,-152.4072,56.71,82,100,3.44,US,1660154438
8,ewo,-0.8725,14.8206,84.83,43,82,3.06,CG,1660154440
9,airai,-8.9266,125.4092,57.9,52,44,1.72,TL,1660154443
10,narsaq,60.9167,-46.05,49.24,55,97,5.61,GL,1660154172
11,tuktoyaktuk,69.4541,-133.0374,44.46,88,100,26.31,CA,1660154448
12,ahipara,-35.1667,173.1667,48.85,87,90,7.85,NZ,1660154167
13,busselton,-33.65,115.3333,50.7,81,20,4.99,AU,1660154452
14,nome,64.5011,-165.4064,48.16,93,99,7.23,US,1660154301
15,tiksi,71.6872,128.8694,48.54,94,97,5.57,RU,1660154457
16,vaini,-21.2,-175.2,76.82,88,1,18.59,TO,1660154460
17,ponta do sol,32.6667,-17.1,75.13,73,31,6.78,PT,1660154462
18,soe,-9.8607,124.284,62.89,89,68,4.7,ID,1660154465
19,iqaluit,63.7506,-68.5145,54.7,66,0,10.0,CA,1660154415
20,kenora,49.8167,-94.4337,72.79,35,0,10.33,CA,1660154469
21,te anau,-45.4167,167.7167,33.13,94,76,3.6,NZ,1660154472
22,castro,-24.7911,-50.0119,45.75,92,96,14.25,BR,1660154318
23,santa cruz de tenerife,28.4682,-16.2546,77.59,77,20,14.97,ES,1660154477
24,komsomolskiy,40.4272,71.7189,84.92,26,12,4.61,UZ,1660154479
25,karratha,-20.7377,116.8463,65.52,31,0,10.94,AU,1660154481
26,bluff,-46.6,168.3333,42.3,68,100,7.92,NZ,1660154484
27,gamba,-2.65,10.0,70.68,88,56,8.75,GA,1660154486
28,puerto ayora,-0.7393,-90.3518,80.56,85,92,8.01,EC,1660154241
29,haines junction,60.7522,-137.5108,46.78,95,100,3.2,CA,1660154491
30,fort nelson,58.8053,-122.7002,77.38,38,40,3.04,CA,1660154493
31,kahului,20.8947,-156.47,81.84,80,4,11.99,US,1660154258
32,kavieng,-2.5744,150.7967,79.36,79,100,3.02,PG,1660154498
33,port-gentil,-0.7193,8.7815,76.96,78,100,12.66,GA,1660154500
34,mataura,-46.1927,168.8643,36.64,93,99,1.81,NZ,1660154503
35,mongoumba,3.6415,18.5936,73.17,94,99,2.19,CF,1660154505
36,rikitea,-23.1203,-134.9692,73.06,77,100,24.76,PF,1660154508
37,mercedes,-34.6515,-59.4307,60.04,46,95,11.5,AR,1660154510
38,portland,45.5234,-122.6762,69.62,76,100,7.0,US,1660154172
39,mezen,65.8522,44.24,58.23,71,95,3.94,RU,1660154515
